14,83109
18,49495
52,4203
67,2258
37,9855
22,32760
16,63131
11,132598
17,55884
34,12034
57,3353
12,111965
61,2919
26,22249
15,71848
49,5012
13,95720
140,267
31,15064
88,1023
39,8864
68,2159
20,39571
48,5292
24,26760
28,18999
32,14009
111,587
211,78
29,17343
43,6887
77,1618
27,20551
19,44178
23,29516
21,35599
38,9279
124,415
53,4096
71,1831
85,1161
30,16053
42,7246
63,2608
74,1777
60,2966
81,1300
90,1020
33,13167
36,10322
44,6668
188,149
25,24344
41,7631
58,3376
45,6204
204,120
54,3993
50,4786
169,158
103,714
80,1475
76,1552
105,633
35,11169
40,8132
171,154
59,3077
199,102
187,137
65,2493
64,2501
70,2010
79,1476
127,389
75,1703
51,4679
89,1037
177,140
100,774
166,190
46,5926
99,777
115,468
106,616
84,1230
55,3816
56,3547
128,393
95,889
109,588
69,2100
78,1466
62,2759
47,5565
86,1172
93,889
132,350
116,497
167,165
119,492
142,264
154,258
159,196
269,44
336,23
82,1269
108,630
170,157
136,335
113,546
83,1276
227,77
205,85
200,108
117,475
66,2304
1419,2
283,41
92,949
73,1808
94,832
104,706
97,805
176,158
222,80
134,321
302,22
151,245
91,932
153,241
156,185
72,1828
98,788
352,15
146,234
118,486
107,645
96,879
122,442
121,416
131,343
87,1103
198,120
398,14
724,5
215,68
172,142
640,4
135,314
350,20
162,165
158,178
137,291
414,8
112,547
144,275
304,23
149,250
163,213
309,25
424,11
333,23
102,685
129,363
120,459
291,30
125,423
260,49
412,15
277,46
476,7
192,94
168,179
240,52
145,244
180,132
266,42
256,49
110,552
148,272
138,296
420,14
210,88
247,50
141,307
339,23
216,81
530,7
190,126
174,149
126,390
139,282
212,85
160,191
549,3
320,29
229,76
239,60
114,520
463,6
552,3
203,96
191,123
209,74
508,8
273,46
152,228
1007,1
130,397
185,126
938,1
164,186
194,120
257,59
196,95
230,65
147,261
312,35
219,84
534,4
538,4
150,222
285,40
393,19
157,202
155,222
232,64
197,110
279,40
541,8
802,2
342,20
202,96
390,19
252,43
208,87
133,316
184,171
249,55
242,55
244,49
359,23
123,409
407,8
531,3
348,25
316,20
245,59
1257,1
143,271
161,194
373,16
313,26
101,733
296,30
421,11
195,123
235,44
358,11
276,45
265,54
182,118
330,26
175,176
337,19
1138,1
493,13
193,118
214,67
267,37
221,71
306,33
544,8
173,152
213,87
278,37
179,132
268,43
262,40
456,9
297,28
181,148
332,18
226,72
646,1
594,5
223,58
486,5
274,44
307,27
178,138
183,136
324,29
217,67
201,116
430,13
325,26
236,61
975,3
251,49
261,46
186,130
286,27
402,11
233,55
329,19
535,11
254,54
413,18
237,66
280,29
300,30
445,7
246,56
344,18
484,7
321,31
634,2
250,47
282,40
533,2
487,10
308,25
228,54
444,11
258,42
189,124
328,18
669,4
387,13
631,3
485,5
455,12
432,9
238,57
964,1
399,16
446,10
473,2
1354,1
220,73
255,45
449,6
509,4
437,8
288,35
206,100
667,3
259,49
711,2
406,8
310,30
295,32
340,22
507,9
367,12
433,6
294,28
361,20
356,15
305,28
248,45
290,29
331,24
690,2
287,33
272,36
382,15
1153,1
425,13
1272,1
410,10
844,1
395,17
453,8
165,171
243,67
380,14
319,25
554,2
462,10
411,10
452,6
372,17
933,1
769,5
1038,1
298,45
362,11
385,13
225,73
504,9
377,18
231,74
408,9
642,4
207,97
341,20
270,43
284,38
347,18
491,9
546,9
1170,2
439,13
293,25
1006,1
791,1
674,6
626,3
271,30
739,2
442,8
335,27
659,2
299,35
949,3
224,70
289,33
567,4
334,25
218,69
253,43
301,27
447,10
355,17
627,4
431,14
864,2
374,15
394,12
524,8
982,1
836,7
357,16
448,10
1633,1
495,8
264,48
481,7
2453,1
471,9
846,1
454,6
635,6
584,3
422,12
1175,1
494,6
506,5
555,5
388,18
363,17
714,3
578,8
1100,1
440,2
680,5
516,11
323,23
370,18
596,5
710,2
579,1
475,3
450,12
315,31
241,50
311,34
684,2
513,9
381,12
566,6
525,7
997,1
469,7
641,3
360,27
1026,2
314,24
396,12
737,2
805,2
327,23
281,38
1516,1
564,5
426,17
671,3
263,49
353,15
322,16
434,8
713,2
384,15
234,59
303,49
383,16
542,4
419,8
651,4
754,2
468,13
686,1
3337,1
326,23
593,3
461,4
379,14
780,1
369,17
644,1
625,4
570,4
980,1
1260,1
428,9
368,14
682,1
520,7
576,6
547,3
606,7
489,2
716,2
371,19
2083,1
654,2
404,10
